/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.05_bud_180_20-07-23-04-56/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=336 | return=-54.98 | steps=42
global_step=544 | return=-75.58 | steps=68
global_step=992 | return=-20.43 | steps=124
global_step=1048 | return=-138.98 | steps=131
global_step=1048 | return=-138.78 | steps=131
global_step=1048 | return=-138.78 | steps=131
global_step=1048 | return=-138.83 | steps=131
global_step=1048 | return=-138.63 | steps=131
global_step=1392 | return=-138.78 | steps=131
global_step=1720 | return=-35.76 | steps=146
global_step=2048 | return=-138.98 | steps=131
global_step=2104 | return=-138.93 | steps=131
global_step=2104 | return=-138.58 | steps=131
global_step=2104 | return=-138.98 | steps=131
global_step=2104 | return=-138.83 | steps=131
global_step=2104 | return=-138.88 | steps=131
global_step=2448 | return=-138.78 | steps=131
global_step=3048 | return=-104.13 | steps=117
global_step=3160 | return=-139.23 | steps=131
global_step=3160 | return=-138.98 | steps=131
global_step=3160 | return=-138.93 | steps=131
global_step=3160 | return=-138.68 | steps=131
global_step=3504 | return=-138.83 | steps=131
global_step=4064 | return=-42.38 | steps=112
global_step=4096, SPS=8
global_step=4104 | return=-138.78 | steps=131
global_step=4216 | return=-138.78 | steps=131
global_step=4216 | return=-138.98 | steps=131
global_step=4216 | return=-138.78 | steps=131
global_step=4560 | return=-110.65 | steps=131
global_step=4608 | return=-91.59 | steps=360
global_step=4632 | return=-8.19 | steps=322
global_step=5120 | return=-138.93 | steps=131
global_step=5272 | return=-138.93 | steps=131
global_step=5272 | return=-138.83 | steps=131
global_step=5272 | return=-138.93 | steps=131
global_step=5400 | return=-64.73 | steps=161
global_step=5616 | return=-139.03 | steps=131
global_step=5664 | return=-138.98 | steps=131
global_step=5688 | return=-138.78 | steps=131
global_step=6328 | return=-138.73 | steps=131
global_step=6328 | return=-138.93 | steps=131
global_step=6328 | return=-138.83 | steps=131
global_step=6456 | return=-138.83 | steps=131
global_step=6672 | return=-139.13 | steps=131
global_step=6720 | return=-139.08 | steps=131
global_step=6744 | return=-138.78 | steps=131
global_step=7120 | return=-60.60 | steps=46
global_step=7384 | return=-138.93 | steps=131
global_step=7384 | return=-110.85 | steps=131
global_step=7512 | return=-71.96 | steps=147
