step,value
4096,25.0
8192,25.0
12288,25.0
16384,25.0
20480,25.0
24576,25.0
28672,25.0
32768,25.0
36864,25.0
40960,25.0
45056,25.0
49152,25.0
53248,25.0
57344,25.0
61440,25.0
65536,25.0
69632,25.0
73728,25.0
77824,25.0
81920,25.0
86016,25.0
90112,25.0
94208,25.0
98304,25.0
102400,25.0
106496,25.0
110592,25.0
114688,25.0
118784,25.0
122880,25.0
126976,25.0
131072,25.0
135168,25.0
139264,25.0
143360,25.0
147456,25.0
151552,25.0
155648,25.0
159744,25.0
163840,25.0
167936,25.0
172032,25.0
176128,25.0
180224,25.0
184320,25.0
188416,25.0
192512,25.0
196608,25.0
200704,25.0
204800,25.0
208896,25.0
212992,25.0
217088,25.0
221184,25.0
225280,25.0
229376,25.0
233472,25.0
237568,25.0
241664,25.0
245760,25.0
249856,25.0
253952,25.0
258048,25.0
262144,25.0
266240,25.0
270336,25.0
274432,25.0
278528,25.0
282624,25.0
286720,25.0
290816,25.0
294912,25.0
299008,25.0
303104,25.0
307200,25.0
311296,25.0
315392,25.0
319488,25.0
323584,25.0
327680,25.0
331776,25.0
335872,25.0
339968,25.0
344064,25.0
348160,25.0
352256,25.0
356352,25.0
360448,25.0
364544,25.0
368640,25.0
372736,25.0
376832,25.0
380928,25.0
385024,25.0
389120,25.0
393216,25.0
397312,25.0
401408,25.0
405504,25.0
409600,25.0
413696,25.0
417792,25.0
421888,25.0
425984,25.0
430080,25.0
434176,25.0
438272,25.0
442368,25.0
446464,25.0
450560,25.0
454656,25.0
458752,25.0
462848,25.0
466944,25.0
471040,25.0
475136,25.0
479232,25.0
483328,25.0
487424,25.0
491520,25.0
495616,25.0
499712,25.0
503808,25.0
507904,25.0
512000,25.0
516096,25.0
520192,25.0
524288,25.0
528384,25.0
532480,25.0
536576,25.0
540672,25.0
544768,25.0
548864,25.0
552960,25.0
557056,25.0
561152,25.0
565248,25.0
569344,25.0
573440,25.0
577536,25.0
581632,25.0
585728,25.0
589824,25.0
593920,25.0
598016,25.0
602112,25.0
606208,25.0
610304,25.0
614400,25.0
618496,25.0
622592,25.0
626688,25.0
630784,25.0
634880,25.0
638976,25.0
643072,25.0
647168,25.0
651264,25.0
655360,25.0
659456,25.0
663552,25.0
667648,25.0
671744,25.0
675840,25.0
679936,25.0
684032,25.0
688128,25.0
692224,25.0
696320,25.0
700416,25.0
704512,25.0
708608,25.0
712704,25.0
716800,25.0
720896,25.0
724992,25.0
729088,25.0
733184,25.0
737280,25.0
741376,25.0
745472,25.0
749568,25.0
753664,25.0
757760,25.0
761856,25.0
765952,25.0
770048,25.0
774144,25.0
778240,25.0
782336,25.0
786432,25.0
790528,25.0
794624,25.0
798720,25.0
802816,25.0
806912,25.0
811008,25.0
815104,25.0
819200,25.0
823296,25.0
827392,25.0
831488,25.0
835584,25.0
839680,25.0
843776,25.0
847872,25.0
851968,25.0
856064,25.0
860160,25.0
864256,25.0
868352,25.0
872448,25.0
876544,25.0
880640,25.0
884736,25.0
888832,25.0
892928,25.0
897024,25.0
901120,25.0
905216,25.0
909312,25.0
913408,25.0
917504,25.0
921600,25.0
925696,25.0
929792,25.0
933888,25.0
937984,25.0
942080,25.0
946176,25.0
950272,25.0
954368,25.0
958464,25.0
962560,25.0
966656,25.0
970752,25.0
974848,25.0
978944,25.0
983040,25.0
987136,25.0
991232,25.0
995328,25.0
999424,25.0
1003520,25.0
1007616,25.0
1011712,25.0
1015808,25.0
1019904,25.0
1024000,25.0
1028096,25.0
1032192,25.0
1036288,25.0
1040384,25.0
1044480,25.0
1048576,25.0
1052672,25.0
1056768,25.0
1060864,25.0
1064960,25.0
1069056,25.0
1073152,25.0
1077248,25.0
1081344,25.0
1085440,25.0
1089536,25.0
1093632,25.0
1097728,25.0
1101824,25.0
1105920,25.0
1110016,25.0
1114112,25.0
1118208,25.0
1122304,25.0
1126400,25.0
1130496,25.0
1134592,25.0
1138688,25.0
1142784,25.0
1146880,25.0
1150976,25.0
1155072,25.0
1159168,25.0
1163264,25.0
1167360,25.0
1171456,25.0
1175552,25.0
1179648,25.0
1183744,25.0
1187840,25.0
1191936,25.0
1196032,25.0
1200128,25.0
1204224,25.0
1208320,25.0
1212416,25.0
1216512,25.0
1220608,25.0
1224704,25.0
1228800,25.0
