step,value
4096,9.999999747378752e-05
8192,9.986339136958122e-05
12288,9.972677798941731e-05
16384,9.95901646092534e-05
20480,9.94535512290895e-05
24576,9.931693784892559e-05
28672,9.918032446876168e-05
32768,9.904371836455539e-05
36864,9.890710498439148e-05
40960,9.877049160422757e-05
45056,9.863387822406366e-05
49152,9.849726484389976e-05
53248,9.836065873969346e-05
57344,9.822404535952955e-05
61440,9.808743197936565e-05
65536,9.795081859920174e-05
69632,9.781420521903783e-05
73728,9.767759911483154e-05
77824,9.754098573466763e-05
81920,9.740437235450372e-05
86016,9.726775897433981e-05
90112,9.71311455941759e-05
94208,9.6994532214012e-05
98304,9.68579261098057e-05
102400,9.67213127296418e-05
106496,9.658469934947789e-05
110592,9.644808596931398e-05
114688,9.631147258915007e-05
118784,9.617486648494378e-05
122880,9.603825310477987e-05
126976,9.590163972461596e-05
131072,9.576502634445205e-05
135168,9.562841296428815e-05
139264,9.549180686008185e-05
143360,9.535519347991794e-05
147456,9.521858009975404e-05
151552,9.508196671959013e-05
155648,9.494535333942622e-05
159744,9.480873995926231e-05
163840,9.467213385505602e-05
167936,9.453552047489211e-05
172032,9.43989070947282e-05
176128,9.42622937145643e-05
180224,9.412568033440039e-05
184320,9.398907423019409e-05
188416,9.385246085003018e-05
192512,9.371584746986628e-05
196608,9.357923408970237e-05
200704,9.344262070953846e-05
204800,9.330600732937455e-05
208896,9.316940122516826e-05
212992,9.303278784500435e-05
217088,9.289617446484044e-05
221184,9.275956108467653e-05
225280,9.262294770451263e-05
229376,9.248634160030633e-05
233472,9.234972822014242e-05
237568,9.221311483997852e-05
241664,9.207650145981461e-05
245760,9.19398880796507e-05
249856,9.18032819754444e-05
253952,9.16666685952805e-05
258048,9.153005521511659e-05
262144,9.139344183495268e-05
266240,9.125682845478877e-05
270336,9.112021507462487e-05
274432,9.098360897041857e-05
278528,9.084699559025466e-05
282624,9.071038221009076e-05
286720,9.057376882992685e-05
290816,9.043715544976294e-05
294912,9.030054934555665e-05
299008,9.016393596539274e-05
303104,9.002732258522883e-05
307200,8.989070920506492e-05
311296,8.975409582490101e-05
315392,8.961748972069472e-05
319488,8.948087634053081e-05
323584,8.93442629603669e-05
327680,8.9207649580203e-05
331776,8.907103620003909e-05
335872,8.893442281987518e-05
339968,8.879781671566889e-05
344064,8.866120333550498e-05
348160,8.852458995534107e-05
352256,8.838797657517716e-05
356352,8.825136319501325e-05
360448,8.811475709080696e-05
364544,8.797814371064305e-05
368640,8.784153033047915e-05
372736,8.770491695031524e-05
376832,8.756830357015133e-05
380928,8.743169746594504e-05
385024,8.729508408578113e-05
389120,8.715847070561722e-05
393216,8.702185732545331e-05
397312,8.68852439452894e-05
401408,8.67486305651255e-05
405504,8.66120244609192e-05
409600,8.64754110807553e-05
413696,8.633879770059139e-05
417792,8.620218432042748e-05
421888,8.606557094026357e-05
425984,8.592896483605728e-05
430080,8.579235145589337e-05
434176,8.565573807572946e-05
438272,8.551912469556555e-05
442368,8.538251131540164e-05
446464,8.524590521119535e-05
450560,8.510929183103144e-05
454656,8.497267845086753e-05
458752,8.483606507070363e-05
462848,8.469945169053972e-05
466944,8.456283831037581e-05
471040,8.442623220616952e-05
475136,8.428961882600561e-05
479232,8.41530054458417e-05
483328,8.401639206567779e-05
487424,8.387977868551388e-05
491520,8.374317258130759e-05
495616,8.360655920114368e-05
499712,8.346994582097977e-05
503808,8.333333244081587e-05
507904,8.319671906065196e-05
512000,8.306010568048805e-05
516096,8.292349957628176e-05
520192,8.278688619611785e-05
524288,8.265027281595394e-05
528384,8.251365943579003e-05
532480,8.237704605562612e-05
536576,8.224043995141983e-05
540672,8.210382657125592e-05
544768,8.196721319109201e-05
548864,8.18305998109281e-05
552960,8.16939864307642e-05
557056,8.15573803265579e-05
561152,8.1420766946394e-05
565248,8.128415356623009e-05
569344,8.114754018606618e-05
573440,8.101092680590227e-05
577536,8.087431342573836e-05
581632,8.073770732153207e-05
585728,8.060109394136816e-05
589824,8.046448056120425e-05
593920,8.032786718104035e-05
598016,8.019125380087644e-05
602112,8.005464769667014e-05
606208,7.991803431650624e-05
610304,7.978142093634233e-05
614400,7.964480755617842e-05
618496,7.950819417601451e-05
622592,7.937158807180822e-05
626688,7.923497469164431e-05
630784,7.90983613114804e-05
634880,7.89617479313165e-05
638976,7.882513455115259e-05
643072,7.868852117098868e-05
647168,7.855191506678239e-05
651264,7.841530168661848e-05
655360,7.827868830645457e-05
659456,7.814207492629066e-05
663552,7.800546154612675e-05
667648,7.786885544192046e-05
671744,7.773224206175655e-05
675840,7.759562868159264e-05
679936,7.745901530142874e-05
684032,7.732240192126483e-05
688128,7.718579581705853e-05
692224,7.704918243689463e-05
696320,7.691256905673072e-05
700416,7.677595567656681e-05
704512,7.66393422964029e-05
708608,7.6502728916239e-05
712704,7.63661228120327e-05
716800,7.622950943186879e-05
720896,7.609289605170488e-05
724992,7.595628267154098e-05
729088,7.581966929137707e-05
733184,7.568306318717077e-05
737280,7.554644980700687e-05
741376,7.540983642684296e-05
745472,7.527322304667905e-05
749568,7.513660966651514e-05
753664,7.500000356230885e-05
757760,7.486339018214494e-05
761856,7.472677680198103e-05
765952,7.459016342181712e-05
770048,7.445355004165322e-05
774144,7.431693666148931e-05
778240,7.418033055728301e-05
782336,7.40437171771191e-05
786432,7.39071037969552e-05
790528,7.377049041679129e-05
794624,7.363387703662738e-05
798720,7.349727093242109e-05
802816,7.336065755225718e-05
806912,7.322404417209327e-05
811008,7.308743079192936e-05
815104,7.295081741176546e-05
819200,7.281420403160155e-05
823296,7.267759792739525e-05
827392,7.254098454723135e-05
831488,7.240437116706744e-05
835584,7.226775778690353e-05
839680,7.213114440673962e-05
843776,7.199453830253333e-05
847872,7.185792492236942e-05
851968,7.172131154220551e-05
856064,7.15846981620416e-05
860160,7.14480847818777e-05
864256,7.13114786776714e-05
868352,7.11748652975075e-05
872448,7.103825191734359e-05
876544,7.090163853717968e-05
880640,7.076502515701577e-05
884736,7.062841177685186e-05
888832,7.049180567264557e-05
892928,7.035519229248166e-05
897024,7.021857891231775e-05
901120,7.008196553215384e-05
905216,6.994535215198994e-05
909312,6.980874604778364e-05
913408,6.967213266761974e-05
917504,6.953551928745583e-05
921600,6.939890590729192e-05
925696,6.926229252712801e-05
929792,6.912568642292172e-05
933888,6.898907304275781e-05
937984,6.88524596625939e-05
942080,6.871584628242999e-05
946176,6.857923290226609e-05
950272,6.844261952210218e-05
954368,6.830601341789588e-05
958464,6.816940003773198e-05
962560,6.803278665756807e-05
966656,6.789617327740416e-05
970752,6.775955989724025e-05
974848,6.762295379303396e-05
978944,6.748634041287005e-05
983040,6.734972703270614e-05
987136,6.721311365254223e-05
991232,6.707650027237833e-05
995328,6.693989416817203e-05
999424,6.680328078800812e-05
1003520,6.666666740784422e-05
1007616,6.653005402768031e-05
1011712,6.63934406475164e-05
1015808,6.625682726735249e-05
1019904,6.61202211631462e-05
1024000,6.598360778298229e-05
1028096,6.584699440281838e-05
1032192,6.571038102265447e-05
1036288,6.557376764249057e-05
1040384,6.543716153828427e-05
1044480,6.530054815812036e-05
1048576,6.516393477795646e-05
1052672,6.502732139779255e-05
1056768,6.489070801762864e-05
1060864,6.475410191342235e-05
1064960,6.461748853325844e-05
1069056,6.448087515309453e-05
1073152,6.434426177293062e-05
1077248,6.420764839276671e-05
1081344,6.40710350126028e-05
1085440,6.393442890839651e-05
1089536,6.37978155282326e-05
1093632,6.36612021480687e-05
1097728,6.352458876790479e-05
1101824,6.338797538774088e-05
1105920,6.325136928353459e-05
1110016,6.311475590337068e-05
1114112,6.297814252320677e-05
1118208,6.284152914304286e-05
1122304,6.270491576287895e-05
1126400,6.256830238271505e-05
1130496,6.243169627850875e-05
1134592,6.229508289834484e-05
1138688,6.215846951818094e-05
1142784,6.202185613801703e-05
1146880,6.188524275785312e-05
1150976,6.174863665364683e-05
1155072,6.161202327348292e-05
1159168,6.147540989331901e-05
1163264,6.13387965131551e-05
1167360,6.12021831329912e-05
1171456,6.10655770287849e-05
1175552,6.0928960010642186e-05
1179648,6.0792350268457085e-05
1183744,6.065573688829318e-05
1187840,6.0519127146108076e-05
1191936,6.038251376594417e-05
1196032,6.024590038578026e-05
1200128,6.010929064359516e-05
1204224,5.997267726343125e-05
1208320,5.983606388326734e-05
1212416,5.969945414108224e-05
1216512,5.9562840760918334e-05
1220608,5.942623101873323e-05
1224704,5.9289617638569325e-05
1228800,5.915300425840542e-05
1232896,5.9016394516220316e-05
1236992,5.887978113605641e-05
1241088,5.87431677558925e-05
1245184,5.86065580137074e-05
1249280,5.846994463354349e-05
1253376,5.833333489135839e-05
1257472,5.819672151119448e-05
1261568,5.8060108131030574e-05
1265664,5.7923498388845474e-05
1269760,5.7786885008681566e-05
1273856,5.765027162851766e-05
1277952,5.7513661886332557e-05
1282048,5.737704850616865e-05
1286144,5.724043876398355e-05
1290240,5.710382538381964e-05
1294336,5.696721200365573e-05
1298432,5.683060226147063e-05
1302528,5.669398888130672e-05
1306624,5.6557375501142815e-05
1310720,5.6420765758957714e-05
1314816,5.6284152378793806e-05
1318912,5.6147542636608705e-05
1323008,5.60109292564448e-05
1327104,5.587431587628089e-05
1331200,5.573770613409579e-05
1335296,5.560109275393188e-05
1339392,5.546447937376797e-05
1343488,5.532786963158287e-05
1347584,5.519125625141896e-05
1351680,5.505464650923386e-05
1355776,5.4918033129069954e-05
1359872,5.4781419748906046e-05
1363968,5.4644810006720945e-05
1368064,5.450819662655704e-05
1372160,5.437158324639313e-05
1376256,5.423497350420803e-05
1380352,5.409836012404412e-05
1384448,5.396175038185902e-05
1388544,5.382513700169511e-05
1392640,5.3688523621531203e-05
1396736,5.35519138793461e-05
1400832,5.3415300499182194e-05
1404928,5.3278687119018286e-05
1409024,5.3142077376833186e-05
1413120,5.300546399666928e-05
1417216,5.286885425448418e-05
1421312,5.273224087432027e-05
1425408,5.259562749415636e-05
1429504,5.245901775197126e-05
1433600,5.232240437180735e-05
1437696,5.2185790991643444e-05
1441792,5.204918124945834e-05
1445888,5.1912567869294435e-05
1449984,5.177595448913053e-05
1454080,5.1639344746945426e-05
1458176,5.150273136678152e-05
1462272,5.136612162459642e-05
1466368,5.122950824443251e-05
1470464,5.10928948642686e-05
1474560,5.09562851220835e-05
1478656,5.081967174191959e-05
1482752,5.0683058361755684e-05
1486848,5.054644861957058e-05
1490944,5.0409835239406675e-05
