step,value
4096,9.999999747378752e-05
8192,9.997269080486149e-05
12288,9.994538413593546e-05
16384,9.991807746700943e-05
20480,9.98907707980834e-05
24576,9.986346412915736e-05
28672,9.983615746023133e-05
32768,9.98088507913053e-05
36864,9.978153684642166e-05
40960,9.975423017749563e-05
45056,9.97269235085696e-05
49152,9.969961683964357e-05
53248,9.967231017071754e-05
57344,9.964500350179151e-05
61440,9.961769683286548e-05
65536,9.959039016393945e-05
69632,9.956308349501342e-05
73728,9.953576955012977e-05
77824,9.950846288120374e-05
81920,9.948115621227771e-05
86016,9.945384954335168e-05
90112,9.942654287442565e-05
94208,9.939923620549962e-05
98304,9.937192953657359e-05
102400,9.934462286764756e-05
106496,9.931731619872153e-05
110592,9.929000225383788e-05
114688,9.926269558491185e-05
118784,9.923538891598582e-05
122880,9.920808224705979e-05
126976,9.918077557813376e-05
131072,9.915346890920773e-05
135168,9.91261622402817e-05
139264,9.909885557135567e-05
143360,9.907154890242964e-05
147456,9.9044234957546e-05
151552,9.901692828861997e-05
155648,9.898962161969393e-05
159744,9.89623149507679e-05
163840,9.893500828184187e-05
167936,9.890770161291584e-05
172032,9.888039494398981e-05
176128,9.885308827506378e-05
180224,9.882578160613775e-05
184320,9.879846766125411e-05
188416,9.877116099232808e-05
192512,9.874385432340205e-05
196608,9.871654765447602e-05
200704,9.868924098554999e-05
204800,9.866193431662396e-05
208896,9.863462764769793e-05
212992,9.86073209787719e-05
217088,9.858001430984586e-05
221184,9.855270036496222e-05
225280,9.852539369603619e-05
229376,9.849808702711016e-05
233472,9.847078035818413e-05
237568,9.84434736892581e-05
241664,9.841616702033207e-05
245760,9.838886035140604e-05
249856,9.836155368248001e-05
253952,9.833424701355398e-05
258048,9.830693306867033e-05
262144,9.82796263997443e-05
266240,9.825231973081827e-05
270336,9.822501306189224e-05
274432,9.819770639296621e-05
278528,9.817039972404018e-05
282624,9.814309305511415e-05
286720,9.811578638618812e-05
290816,9.808847971726209e-05
294912,9.806116577237844e-05
299008,9.803385910345241e-05
303104,9.800655243452638e-05
307200,9.797924576560035e-05
311296,9.795193909667432e-05
315392,9.792463242774829e-05
319488,9.789732575882226e-05
323584,9.787001908989623e-05
327680,9.78427124209702e-05
331776,9.781539847608656e-05
335872,9.778809180716053e-05
339968,9.77607851382345e-05
344064,9.773347846930847e-05
348160,9.770617180038244e-05
352256,9.76788651314564e-05
356352,9.765155846253037e-05
360448,9.762425179360434e-05
364544,9.759694512467831e-05
368640,9.756963117979467e-05
372736,9.754232451086864e-05
376832,9.751501784194261e-05
380928,9.748771117301658e-05
385024,9.746040450409055e-05
389120,9.743309783516452e-05
393216,9.740579116623849e-05
397312,9.737848449731246e-05
401408,9.735117782838643e-05
405504,9.732386388350278e-05
409600,9.729655721457675e-05
413696,9.726925054565072e-05
417792,9.724194387672469e-05
421888,9.721463720779866e-05
425984,9.718733053887263e-05
430080,9.71600238699466e-05
434176,9.713271720102057e-05
438272,9.710540325613692e-05
442368,9.70780965872109e-05
446464,9.705078991828486e-05
450560,9.702348324935883e-05
454656,9.69961765804328e-05
458752,9.696886991150677e-05
462848,9.694156324258074e-05
466944,9.691425657365471e-05
471040,9.688694990472868e-05
475136,9.685963595984504e-05
479232,9.6832329290919e-05
483328,9.680502262199298e-05
487424,9.677771595306695e-05
491520,9.675040928414091e-05
495616,9.672310261521488e-05
499712,9.669579594628885e-05
503808,9.666848927736282e-05
507904,9.664118260843679e-05
512000,9.661386866355315e-05
516096,9.658656199462712e-05
520192,9.655925532570109e-05
524288,9.653194865677506e-05
528384,9.650464198784903e-05
532480,9.6477335318923e-05
536576,9.645002864999697e-05
540672,9.642272198107094e-05
544768,9.63954153121449e-05
548864,9.636810136726126e-05
552960,9.634079469833523e-05
557056,9.63134880294092e-05
561152,9.628618136048317e-05
565248,9.625887469155714e-05
569344,9.623156802263111e-05
573440,9.620426135370508e-05
577536,9.617695468477905e-05
581632,9.614964801585302e-05
